id	caption	abstract	facet.collaborators	facet.publication	facet.subject	facet.year	img	pdf	primary	reference	thumb	text	video
21	Token TV	"TV Tokens (GUID for a specific broadcast program or movie) can be embedded in any website, EPG or email, downloaded and shared between friends to send to respective PVR's to schedule recording of show. TokenTV service (dot.NET TV) converts GUID to resolve to local schedule information needed to program the PVR. Any content based website (i.e.: IBDB.com, PBS.org, AFI.org) could have tokens to download to PVR for recording specific content."	Wong	InternalReport	"UI,TV,Media"	2001	researchImages/tokenTV_photo.jpg	http://research.microsoft.com/~sdrucker/papers/tokentv.doc	Media	"Drucker, S.M., Wong, C. 2001, Token TV: Sharing preferences for Television DVR Recording, MS Technical Report"	thumbnail/tokenTV_photo.jpg		
22	DeepNews	"By monitoring the closed caption stream of a news broadcast, the web can be searched for related articles and more in depth stories can be found."	Wong	InternalReport	"UI,TV,Media"	2001	researchImages/deepnews_photo.jpg		Media	"Drucker, S.M., Wong, C. 2001, DeepNews: Automatic related material based on closed caption information, MS Technical Report"	thumbnail/deepnews_photo.jpg		http://research.microsoft.com/~sdrucker/Video/DeepnewsEnhanced.wmv
23	Flatland	"Computer intra- and internets are widely used for client-server application such as web browsers. With the exception of e-mail, however, the same networks are seldom used for distributed, client-client or client-server-client applications. Such applications are difficult to develop and debug, and require a supporting infrastructure that is not readily available from existing systems. Flatland is a rapid prototyping environment that provides the underlying infrastructure and makes it easy to create and debug distributed internet application prototypes. In addition to the infrastructure needed for a distributed application, Flatland includes safe implementations of the most common sources of distributed application bugs, asynchronous operation and updating. Flatland also supports streaming audio-video and down-level clients."	"Chesley,Gupta,Kimberly,White"	InternalReport	"UI,Education,Social"	2001	researchImages/flatland.jpg	http://research.microsoft.com/~sdrucker/papers/flatland.pdf	Social	"Chesley, H. Drucker, S. Gupta, A., Kimberly, G. White, S.  Flatland: Rapid prototyping of distributed internet applications.MSR-TR-2001-73."	thumbnail/flatland.jpg	flatland.txt	
24	Smart Skip	"In this paper, we describe an interface for browsing and skipping digital video content in a consumer setting; that is, sitting and watching television from a couch using a standard remote control. We compare this interface with two other interfaces that are in common use today and found that subjective satisfaction was statistically better with the new interface. Performance metrics however, like time to task completion and number of clicks were worse."	"Roseway,De Mar,Wong"	SIGCHI	"UI,TV,Media"	2002	researchImages/smartskip_photo.jpg	http://research.microsoft.com/~sdrucker/papers/smartskipfinal.pdf	Media	"Drucker, S.,  Glatzer, A., De Mar, S and Wong, C. SmartSkip: Consumer level browsing and skipping of digital video content. In Proceedings of CHI 2002, Minneapolis, Minnesota, 2002"	thumbnail/smartskip_photo.jpg	smartskipfinal.txt	http://research.microsoft.com/~sdrucker/Video/smartskip2.wmv
25	Memex Vision	"MyLifeBits is a project to fulfill the Memex vision first posited by Vannevar Bush in 1945. It is a system for storing all of one?ÇÖs digital media, including documents, images, sounds, and videos. It is built on four principles: (1) collections and search must replace hierarchy for organization (2) many visualizations should be supported (3) annotations are critical to non-text media and must be made easy, and (4) authoring should be via transclusion."	"Gemmell,Bell,Lueder,Wong"	Multimedia	"UI,Media,Search,Information"	2002	researchImages/memex1.png		UI-Information	"Gemmell, J., Bell, G., Lueder, R., Drucker, S., & Wong, C. (2002, December). MyLifeBits: fulfilling the Memex vision. In Proceedings of the tenth ACM international conference on Multimedia (pp. 235-238). ACM."	thumbnail/memex1.png		
26	Filtered EPG	This electronic program guide uses automatically computed favorites based on viewing habits per time of day and day of week as well as simple filtering features to allow for rapid selection of television.	"Wong,Roseway"	InternalReport	"UI,TV,Media"	2002	researchImages/tvnow_photo.jpg		Media	"Drucker, S.M. 2002, Filtered Electronic Program Guides, MS Technical Report"	thumbnail/tvnow_photo.jpg		http://research.microsoft.com/~sdrucker/nextmedia/TVNow.exe
27	Right Now Viewer	"The purpose of this thought experiment was to look at time compression for when you turned on the TV to quickly find out what's on. Changing channels takes time and often there's a commercial on so you have to wait. This demo shows how a tuner could cache 12 most popular tv channels you watch and assemble them into a time compressed 30x real time video clip. In this prototype you can click on an individual thumbnail and it plays regular speed. The time compression inherent in the clips is long enough to transcend the commercials so you can see what's on. UI study participants were able to distinguish different TV formats (like sports vs. news), but failed to get a more detailed grasp of the program. For this the UI seemed to display too much information simultaneously. Additional experiments need to be done to find the right balance of speed, number and size of simultaneous videos playing and video thumbnail size would improve comprehension and recognition."	"Wong,Flora"	InternalReport	"UI,TV"	2002	researchImages/rightnow_viewer_photo.jpg		Media	"Drucker, S. Wong, C. Right Now Viewer, MS Internal Report"	thumbnail/rightnow_viewer_photo.jpg		
28	Phototriage	"The Photo-triage application is meant to be an essential part of the digital photography lifestyle. It can fit as a component wherever photo management is done (shell, picture-it, media-center, etc.). The central idea is to facilitate rapid, convenient categorization of one's personal photos into at least the following categories: hidden/private, majority, highlights, best and/or representative. See figure 1. This application is meant to fill an empty niche in the usage of digital photos: that is, there's no easy way add metadata to photos to mark them for printing, for sharing, or for slideshows without creating separate versions of the photos and copying into separate folders. We propose a sorting metaphor that will add implicit metadata when one first goes through the photos. "	"Wong,Roseway,Glenner,De Mar"	InternalReport	"UI,Photos"	2003	researchImages/phototriage.jpg	http://research.microsoft.com/~sdrucker/papers/phototriage.pdf	Photos	"Drucker, S. C. Wong, A. Roseway, S. Glenner, S. De Mar, Photo-triage: Rapidly annotating your digital photographs. MSR Tech Report."	thumbnail/phototriage.jpg	phototriage.txt	
29	Movie Variations	"This system allows for browsing a movie collection by moving from one related group of movies to another related group, where groups are related by common actor or director. As the user selects a movie from the cluster, it moves to the center and 4 related clusters are moved arranged around the movie. Extensions can include clusters that are related by collaborative filtering or other common features."	"Roseway,De Mar,Wong"	InternalReport	"UI,Information,Visualization,Movies"	2003	researchImages/MV_photo.jpg		Media	"Drucker, S. Movie Variations, MS Tech Report"	thumbnail/MV_photo.jpg		http://research.microsoft.com/~sdrucker/Video/mbrowse2.wmv
30	People Browser	"The concept of 6 degrees separation (6 DOS) can be applied to many different domains. As demonstrated in the MediaVariations Browser, movies can easily be browsed using clusters of related movies using the actor and director to help associate movies. Looking at people is even more natural for this type of browsing, since that is what the concept of 6 DOS is usually associated with. The PeopleBrowser uses a person's rank within an organization, their management chain, their peers (under the same manager), their direct reports, and people with their same title, to help browse through an organization. Other clusters could also easily be used, including those people on the same mailing list, frequently mailed, etc. This project was done in conjunction with the Shell MSX team (Hillel Cooperman, Rob Girling, and Jeni Sadler)."	Wong	InternalReport	"UI,Visualization,Information"	2003	researchImages/peoplebrowser_photo.jpg		UI-Information	"Drucker, S, People Browser, MS Internal Report"	thumbnail/peoplebrowser_photo.jpg		http://research.microsoft.com/~sdrucker/Video/peoplebrowser.avi
31	Spectator (concept)	"Networked multiplayer games are becoming tremendously popular. At any given moment on the Microsoft Game Zone (http://zone.msn.com), there are thousands of people playing Asheron's Call or Age of Empires. Traditional board and card games are also increasingly being played online and will continue to gain in popularity. While networked games are certainly fun for active players, there is potentially a much larger audience: spectators. In most traditional games, such as football, the number of spectators far exceeds the number of players. The key idea presented in this paper is to tap this potential by making online games engaging and entertaining to non-players watching these games. <br> The experience for spectators can be made much richer by employing techniques often used in sports broadcasting, such as a commentator providing analysis and background stories, slow motion and instance replay. For 3D games, cinematic camera movements and shot cuts be much more visually interesting than the first-person views often provided to the players. There is the potential to significantly increase the 'eyeballs' on sites such as Microsoft Game Zone. Spectators can be more easily targeted for advertising. Finally, supporting the spectator experience will help drive sales of the games themselves as casual viewers take the next step to become players. Watching others play networked games has the potential to become a vital component to an overall entertainment/media strategy. The authors of this document have already developed significant technologies needed to support the online game spectator. We propose that new resources be devoted now to carry these technologies into practice."	"He,Cohen,Gupta,Wong,Roseway,De Mar"	InternalReport	"Graphics,UI,Games"	2003	researchImages/spectator_photo.jpg	http://research.microsoft.com/~sdrucker/papers/spectator.pdf	Camera	"Drucker, S.M., He. L, Cohen, M., Gupta., A, Wong, C., Spectator Games: A New Entertainment Modality for Networked Multiplayer Games, 2003."	thumbnail/spectator_photo.jpg		http://research.microsoft.com/~sdrucker/Video/spectator.asf
32	Spectator (MechWarrior)	"Networked multiplayer games are becoming tremendously popular. At any given moment on the Microsoft Game Zone (http://zone.msn.com), there are thousands of people playing Asheron's Call or Age of Empires. Traditional board and card games are also increasingly being played online and will continue to gain in popularity. While networked games are certainly fun for active players, there is potentially a much larger audience: spectators. In most traditional games, such as football, the number of spectators far exceeds the number of players. The key idea presented in this paper is to tap this potential by making online games engaging and entertaining to non-players watching these games. <br> The experience for spectators can be made much richer by employing techniques often used in sports broadcasting, such as a commentator providing analysis and background stories, slow motion and instance replay. For 3D games, cinematic camera movements and shot cuts be much more visually interesting than the first-person views often provided to the players. There is the potential to significantly increase the 'eyeballs' on sites such as Microsoft Game Zone. Spectators can be more easily targeted for advertising. Finally, supporting the spectator experience will help drive sales of the games themselves as casual viewers take the next step to become players. Watching others play networked games has the potential to become a vital component to an overall entertainment/media strategy. The authors of this document have already developed significant technologies needed to support the online game spectator. We propose that new resources be devoted now to carry these technologies into practice."	"He,Cohen,Gupta,Wong,De Mar"	InternalReport	"Graphics,UI,Games,Thesis"	2003	researchImages/spectator3.jpg	http://research.microsoft.com/~sdrucker/papers/spectator.pdf	Camera	"Drucker, S.M., He. L, Cohen, M., Gupta., A, Wong, C., Spectator Games: A New Entertainment Modality for Networked Multiplayer Games, 2003."	thumbnail/spectator3.jpg	spectator.txt	http://research.microsoft.com/~sdrucker/Video/spectator3.wmv
33	Interactive Digital Photomontage	"We describe an interactive, computer-assisted framework for combining parts of a set of photographs into a single composite picture, a process we call 'digital photomontage.' Our framework makes use of two techniques primarily: graph-cut optimization, to choose good seams within the constituent images so that they can be combined as seamlessly as possible; and gradient-domain fusion, a process based on Poisson equations, to further reduce any remaining visible artifacts in the composite. Also central to the framework is a suite of interactive tools that allow the user to specify a variety of high-level image objectives, either globally across the image, or locally through a painting-style interface. Image objectives are applied independently at each pixel location and generally involve a function of the pixel values (such as 'maximum contrast') drawn from that same location in the set of source images. Typically, a user applies a series of image objectives iteratively in order to create a finished composite. The power of this framework lies in its generality; we show how it can be used for a wide variety of applications, including 'selective composites' (for instance, group photos in which everyone looks their best), relighting, extended depth of field, panoramic stitching, clean-plate production, stroboscopic visualization of movement, and time-lapse mosaics."	"Agarwala,Dontcheva,Agrawala,Colburn,Curless,Salesin,Cohen"	SIGGRAPH	"Graphics,Photos"	2004	researchImages/photomontage.jpg	http://research.microsoft.com/~sdrucker/papers/photomontage.pdf	Photos	"Aseem Agarwala, Mira Dontcheva, Maneesh Agrawala, Steven Drucker, Alex Colburn, Brian Curless, David Salesin, Michael Cohen. Interactive Digital Photomontage. ACM Transactions on Graphics (Proceedings of SIGGRAPH 2004), 2004."	thumbnail/photomontage.jpg	photomontage.txt	http://grail.cs.washington.edu/projects/photomontage/video.avi
34	MediaBrowser	"Applying personal keywords to images and video clips makes it possible to organize and retrieve them, as well as automatically create thematically related slideshows. MediaBrowser is a system designed to help users create annotations by uniting a careful choice of interface elements, an elegant and pleasing design, smooth motion and animation, and a few simple tools that are predictable and consistent. The result is a friendly, useable tool for turning shoeboxes of old photos into labeled collections that can be easily browsed, shared, and enjoyed."	"Wong,Roseway,Glenner,De Mar"	AVI	"Graphics,Photos,UI,Visualization"	2004	researchImages/MFAG.png	http://research.microsoft.com/~sdrucker/papers/mediaframeAVIlong.pdf	UI-Information	"Drucker, S. C. Wong, A. Roseway, S. Glenner, S. De Mar, MediaBrowser: Reclaiming the Shoebox. in Proceedings of AVI2004, Gallipoli, Italy, 2004."	thumbnail/MFAG.png	mediaframeAVIlong.txt	http://research.microsoft.com/~sdrucker/Video/LH%20MediaFrame%20Final.wmv
35	TimeQuilt	"In the absence of manual organization of large digital photo collections, the photos' visual content and creation dates can help support time-based visual search tasks. Current zoomable photo browsers are designed to support visual searches by maximizing screenspace usage. However, their space-filling layouts fail to convey temporal order effectively. We propose a novel layout called time quilt that trades off screenspace usage for better presentation of temporal order. In an experimental comparison of space-filling, linear timeline, and time quilt layouts, participants carried out the task of finding photos in their personal photo collections averaging 4,000 items. They performed 45% faster on time quilt. Furthermore, while current zoomable photo browsers are designed for visual searches, this support does not scale to thousands of photos: individual thumbnails become less informative as they grow smaller. We found a subjective preference for the use of representative photos to provide an overview for visual searches in place of the diminishing thumbnails."	"Huynh,Baudisch,Wong"	SIGCHI	"UI,Photos,Visualization"	2005	researchImages/tq.png	http://research.microsoft.com/~sdrucker/papers/CHI2005%20-%20Time%20Quilt%20short.pdf	Photos	"Huynh, D., Drucker, S., Baudisch, P., Wong, C. Time Quilt: Scaling up Zoomable Photo Browsers for Large, Unstructured Photo Collections. CHI 2005. Portland, OR. Apr. 2005"	thumbnail/tq.png	Time Quilt Long.txt	http://research.microsoft.com/~sdrucker/video/timequilt.wmv
